Submission ID,Respondent ID,Submitted at,Which city do you live in?,Age,Gender,Year of Study,Income Range per month (LKR),Do you prefer online shopping or in-store shopping?,How many times per month do you shop online?,Social Media,Untitled short answer field,Shopping Platforms,Untitled short answer field,How often do you shop for clothes each month?,How much money do you typically spend on clothes/clothes per month (Rs/LKR)?,Are you satisfied with the current price ranges for clothes in stores?,Are you happy with Sri Lanka's current fashion styles?,What do you do when you want to discard your old clothes?,How many pieces of clothing do you discard each year?,Do you have once or never worn clothing items in your wardrobe? ,How many once or never worn clothing items do you have?,How many functions do you have to attend per year?,How often do you re-wear a party-wear?,How much do you usually spend or willing to pay on a party wear?,How frequently do you post your photos with new party wear on social media?,How frequently do you post your photos with the same party wear (mentioned in above) on social media?,"Would you like to consider, [wearing a borrowed clothing item (for special occasions, parties, etc.)?
]","Would you like to consider, [wearing a rented clothing item (for special occasions, parties, etc.)?
]","Would you like to consider, [buying a used (but in good condition) clothing item for an affordable price (for special occasions, parties, etc.)?
]","Would you like to consider, [Do you think that there is a potential for disease transmission when wearing second-hand or previously used clothes?]","Would you like to consider, [If an app allows you to buy, rent, and resell clothes, would you like to use it?
]",What are your main drawbacks when using a second-hand clothing app? (Select all that apply),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Quality of Clothing),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Scams (Trust Issues)),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Price & Payment Methods),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Delivery Charges),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Self-Esteem),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Other),Untitled short answer field,What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Party wear (dresses, sarees, lehengas, suits))","What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Casual wear (office wear, outdoor wear))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Home wear),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Sports wear),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Footwear (shoes, heels, sandals))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Accessories),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Bags & Luggage),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Books),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Electronic devices (phones, laptops, calculators etc.))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Household appliances),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Not interested in any Second-Hand items),If you see a celebrity wearing a dress and you have the chance to buy/rent it at an affordable price would you be interested?,"If you could post a picture of yourself wearing clothes on the app and someone wants to buy or rent it, would you be interested in selling or renting it?",What would make a second-hand clothing app most appealing to you?,Untitled short answer field,Do you have any additional comments or suggestions for a second-hand clothing app?
x1opAy,XOPaDV,2024-09-14 5:34:27,Kandy,22 - 25,Female,2nd year,10K - 50K,In-Store,Once or Twice,Facebook,,"AliExpress, Kapruka",,Once or Twice,"2,000 - 4,000",3,2,Donate,1 - 5,Yes,1 - 3,1 - 5,Thrice or More,"2,500 - 5,000",Sometimes,Sometimes,Yes,No,No,Yes,Yes,"Scams (Trust Issues), Price & Payment Methods, Delivery Charges, Quality of Clothing",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,"Books, Electronic devices (phones, laptops, calculators etc.), Household appliances",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,No,"Yes, I would rent",Opportunity for extra income,,
v1pARQ,vq5ZBX,2024-09-14 5:35:07,Colombo ,22 - 25,Female,4th year,50K - 100K,In-Store,Once or Twice,Instagram,,Shein,,Once or Twice,"4,000 - 6,000",4,3,Donate,10+,Yes,1 - 3,6 - 10,Once or Twice,"2,500 - 5,000",Sometimes,Rarely,No,No,No,Yes,No,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,Not interested in any Second-Hand items,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Yes, I would buy",No,Functionality,,"There can be trust issues on quality of the clothing, diseases etc. Personally im not comfortable wearing used clothing other than a close family member (ex: sister)"
0ylxX6,ye5Qy6,2024-09-14 5:35:12,Kandy,25+,Female,4th year,Not Employed,In-Store,Once or Twice,Facebook,,AliExpress,,Once or Twice,"4,000 - 6,000",3,3,Donate,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Rarely,No,Yes,No,Yes,Yes,Scams (Trust Issues),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Books, Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,"Yes, I would rent",Opportunity for extra income,,No
8yWK7A,1GoeE4,2024-09-14 5:35:40,Kandy,25+,Female,4th year,Not Employed,In-Store,Once or Twice,Facebook,,AliExpress,,Once or Twice,"Below 2,000",1,2,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Rarely,Sometimes,Yes,No,No,Yes,No,"Quality of Clothing, Scams (Trust Issues), Self-Esteem",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,Books,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,Functionality,,"It should be trustworthy,otherwise it won't work.. second hand books may more efficient than selling wearing items,since there are sanitary issues and quality issues. Content is the most needed in books than the quality. "
5DQzyM,jGARx1,2024-09-14 5:36:02,Eheliyagoda,22 - 25,Female,4th year,Below 10K,In-Store,Once or Twice,Facebook,,Daraz,,Once or Twice,"Below 2,000",2,2,Donate,10+,Yes,1 - 3,1 - 5,Once or Twice,"Less than 2,500",Sometimes,Rarely,Yes,No,No,Yes,No,"Quality of Clothing, Scams (Trust Issues), Self-Esteem",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would rent",Save money,,
zoOKX8,L5LrYJ,2024-09-14 5:36:53,Bandarawela ,25+,Male,4th year,Not Employed,In-Store,Once or Twice,Facebook,,AliExpress,,Once or Twice,"2,000 - 4,000",3,3,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,No,No,No,Yes,Yes,Scams (Trust Issues),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Accessories, Electronic devices (phones, laptops, calculators etc.), Books",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,No,Opportunity for extra income,,
x1odrE,zW59rk,2024-09-14 5:37:51,Kuliyapitiya ,22 - 25,Female,4th year,Not Employed,In-Store,Once or Twice,"Facebook, TikTok, WhatsApp",,"AliExpress, Daraz",,Once or Twice,"4,000 - 6,000",3,2,Donate,1 - 5,Yes,4-6,None,Never,"2,500 - 5,000",Always,Never,Yes,Yes,Yes,Yes,Yes,"Quality of Clothing, Price & Payment Methods, Delivery Charges",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Books, Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,"Yes, I would rent",Save money,,
0ylEeA,XOPaOL,2024-09-14 5:39:10,Polonnaruwa,18 -21,Female,1st year,Not Employed,In-Store,Once or Twice,"Facebook, Instagram",,"AliExpress, Daraz, Shein, eBay",,Once or Twice,"2,000 - 4,000",3,2,Donate,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"5,000 - 10,000",Never,Never,Yes,No,No,Yes,Yes,"Quality of Clothing, Scams (Trust Issues), Self-Esteem",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Books, Household appliances, Accessories",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"Yes, I would rent","Yes, I would rent",Opportunity for extra income,,
7zedxa,WlVWlk,2024-09-14 5:39:28,Dambulla,22 - 25,Male,4th year,Not Employed,In-Store,Once or Twice,Facebook,,AliExpress,,Never,"6,000 - 8,000",3,3,Discard,1 - 5,No,None,6 - 10,Thrice or More,"5,000 - 10,000",Sometimes,Sometimes,No,Yes,Yes,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sports wear, Bags & Luggage, Household appliances",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Yes, I would buy",No,Functionality,,
byDld6,aZqLZX,2024-09-14 5:39:28,Kurunegala ,25+,Female,4th year,Not Employed,In-Store,Never,"WhatsApp, Facebook",,"AliExpress, Daraz",,Never,"Below 2,000",2,3,Discard,1 - 5,No,None,1 - 5,Thrice or More,"5,000 - 10,000",Rarely,Rarely,No,No,Yes,Yes,Yes,"Price & Payment Methods, Scams (Trust Issues), Quality of Clothing, Self-Esteem",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Books, Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes, I would rent","Yes, I would sell",Save money,,
G4grrL,lVkGYv,2024-09-14 5:40:33,Kandy,22 - 25,Female,4th year,Not Employed,In-Store,Never,Instagram,,Other,,Once or Twice,"Below 2,000",2,3,Recycle,6 - 10,Yes,4-6,1 - 5,Once or Twice,"2,500 - 5,000",Rarely,Never,Yes,No,No,No,No,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,"Footwear (shoes, heels, sandals), Accessories, Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.), Household appliances",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Yes, I would buy",No,Save money,,
Jxg2RK,74rApR,2024-09-14 5:40:48,Welimada ,25+,Male,3rd year,Not Employed,Online,Thrice or More,Facebook,,AliExpress,,Once or Twice,"2,000 - 4,000",4,3,Discard,10+,No,1 - 3,1 - 5,Once or Twice,"5,000 - 10,000",Always,Always,No,Yes,No,Yes,No,Price & Payment Methods,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,"Accessories, Books, Not interested in any Second-Hand items, Electronic devices (phones, laptops, calculators etc.), Home wear",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"Yes, I would rent",No,Functionality,,I think it may be very useful for peoples who have middle or lower economic status 
BlgGBK,2OGWD9,2024-09-14 5:41:09,Kandy,22 - 25,Female,4th year,10K - 50K,Online,Once or Twice,Facebook,,"Daraz, AliExpress",,Once or Twice,"Below 2,000",2,2,Donate,1 - 5,Yes,1 - 3,1 - 5,Thrice or More,"2,500 - 5,000",Rarely,Rarely,Yes,Yes,Yes,Yes,Yes,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods, Delivery Charges",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Footwear (shoes, heels, sandals), Sports wear, Accessories, Bags & Luggage, Books",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would rent",Opportunity for extra income,,
l15N7k,P8JxrV,2024-09-14 5:42:25,Kandy,22 - 25,Male,4th year,Not Employed,In-Store,Once or Twice,"WhatsApp, Telegram",,"AliExpress, Daraz",,Once or Twice,"6,000 - 8,000",1,5,Donate,10+,Yes,1 - 3,1 - 5,Once or Twice,"10,000+",Never,Always,No,No,No,Yes,No,"Quality of Clothing, Scams (Trust Issues), Self-Esteem",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,Not interested in any Second-Hand items,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Yes, I would buy",No,Opportunity for extra income,,
QWXAx8,gW6lOl,2024-09-14 5:42:56,Kandy,22 - 25,Female,4th year,50K - 100K,Online,Once or Twice,"Facebook, TikTok, WhatsApp",,"AliExpress, Daraz",,Once or Twice,"4,000 - 6,000",3,3,Discard,1 - 5,Yes,6+,1 - 5,Once or Twice,"2,500 - 5,000",Rarely,Sometimes,Yes,No,Yes,No,Yes,"Quality of Clothing, Delivery Charges, Price & Payment Methods",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Home wear",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would rent",Sustainability of the service,,
byDl6e,p4pE9b,2024-09-14 5:44:11,Panadura ,25+,Male,4th year,10K - 50K,In-Store,Never,Facebook,,AliExpress,,Never,"2,000 - 4,000",4,5,Donate,1 - 5,Yes,1 - 3,None,Once or Twice,"2,500 - 5,000",Rarely,Rarely,Yes,Yes,No,Yes,No,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,Books,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,Functionality,,
9yadoG,kOBopM,2024-09-14 5:44:11,Kurunegala ,22 - 25,Female,2nd year,Not Employed,In-Store,Once or Twice,Instagram,,"AliExpress, Daraz",,Once or Twice,"Below 2,000",2,3,Donate,6 - 10,Yes,1 - 3,6 - 10,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,Yes,No,No,Yes,Yes,"Quality of Clothing, Price & Payment Methods, Self-Esteem, Scams (Trust Issues)",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Books",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Opportunity for extra income,,
yRGld0,0oR956,2024-09-14 5:44:16,Kandy,22 - 25,Female,3rd year,50K - 100K,In-Store,Once or Twice,Facebook,,Other,,Once or Twice,"4,000 - 6,000",3,4,Discard,1 - 5,Yes,6+,1 - 5,Once or Twice,"5,000 - 10,000",Always,Never,Yes,Yes,Yes,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Footwear (shoes, heels, sandals), Accessories, Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Opportunity for extra income,,
NQgAOW,B8WyV7,2024-09-14 5:45:14,Kandy ,22 - 25,Female,4th year,10K - 50K,In-Store,Thrice or More,"Instagram, Facebook, TikTok, WhatsApp",,"AliExpress, Daraz, Shein, eBay",,Once or Twice,"6,000 - 8,000",3,3,Donate,10+,No,None,6 - 10,Never,"2,500 - 5,000",Sometimes,Never,No,No,No,Yes,No,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Not interested in any Second-Hand items,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No,No,Opportunity for extra income,,no
4yq2do,N81jxW,2024-09-14 5:46:14,Kandy,22 - 25,Male,4th year,Not Employed,Online,Once or Twice,"Other, Facebook, Instagram",,"AliExpress, Other",,Once or Twice,"Below 2,000",3,3,Recycle,1 - 5,No,None,6 - 10,Thrice or More,"Less than 2,500",Rarely,Sometimes,Yes,No,Yes,Yes,Yes,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods, Delivery Charges, Self-Esteem",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Casual wear (office wear, outdoor wear), Home wear, Accessories, Bags & Luggage, Books",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,"Yes, I would rent",Save money,,
NQgAvp,4PV6lB,2024-09-14 5:47:19,Badulla,25+,Female,4th year,Not Employed,In-Store,Once or Twice,Facebook,,AliExpress,,Once or Twice,"Below 2,000",3,3,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Rarely,Yes,Yes,No,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Books,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,Opportunity for extra income,,No
l15N8o,x95qWE,2024-09-14 5:48:44,Colombo ,22 - 25,Male,2nd year,50K - 100K,In-Store,Once or Twice,"Instagram, TikTok",,Other,,Once or Twice,"6,000 - 8,000",3,3,Donate,1 - 5,No,None,10+,Once or Twice,"5,000 - 10,000",Always,Always,No,No,Yes,Yes,Yes,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,"Casual wear (office wear, outdoor wear)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,Save money,,No thank you!
p1ML28,AWeggo,2024-09-14 5:49:17,Kandy ,25+,Female,4th year,50K - 100K,In-Store,Once or Twice,Facebook,,Daraz,,Once or Twice,"4,000 - 6,000",2,1,Donate,6 - 10,Yes,1 - 3,6 - 10,Once or Twice,"Less than 2,500",Rarely,Rarely,Yes,Yes,Yes,Yes,Yes,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Home wear, Sports wear, Footwear (shoes, heels, sandals), Accessories, Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.), Household appliances, Not interested in any Second-Hand items",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Yes, I would buy","Yes, I would sell",Other,Save time,
d1pY7K,E87Rp2,2024-09-14 5:50:13,Mirigama ,22 - 25,Female,4th year,Not Employed,In-Store,Once or Twice,"Facebook, Instagram",,AliExpress,,Once or Twice,"2,000 - 4,000",3,3,Donate,6 - 10,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Rarely,Yes,No,No,Yes,Yes,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,Books,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,Save money,,
r1plXN,74rAG2,2024-09-14 5:50:22,Galle,22 - 25,Female,2nd year,10K - 50K,In-Store,Once or Twice,Other,Google,Daraz,,Never,"Below 2,000",3,3,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Rarely,No,Yes,Yes,Yes,No,"Quality of Clothing, Self-Esteem, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would rent","Yes, I would rent",Save money,,No
4yqkXO,r2M4No,2024-09-14 5:51:51,Gampaha,22 - 25,Female,4th year,Not Employed,In-Store,Once or Twice,Instagram,,Kapruka,,Never,"4,000 - 6,000",2,3,Donate,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,Yes,No,Yes,No,Yes,"Price & Payment Methods, Self-Esteem, Delivery Charges",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Footwear (shoes, heels, sandals), Home wear, Books, Accessories, Household appliances, Bags & Luggage",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Yes, I would buy","Yes, I would sell",Save money,,
4yqk4O,K8KE7X,2024-09-14 5:52:11,Dambulla ,22 - 25,Female,4th year,10K - 50K,In-Store,Once or Twice,"Instagram, Facebook",,"Daraz, Shein",,Once or Twice,"2,000 - 4,000",3,4,Donate,1 - 5,Yes,1 - 3,1 - 5,Thrice or More,"5,000 - 10,000",Sometimes,Rarely,Yes,Yes,No,Yes,Yes,"Price & Payment Methods, Quality of Clothing, Self-Esteem",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,"Accessories, Books, Household appliances",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"Yes, I would buy","Yes, I would sell",Save money,,No
MqgODY,qj1949,2024-09-14 5:53:11,Andiambalama,22 - 25,Female,4th year,Not Employed,In-Store,Never,Instagram,,"AliExpress, Daraz",,Once or Twice,"2,000 - 4,000",3,3,Discard,1 - 5,Yes,4-6,1 - 5,Thrice or More,"2,500 - 5,000",Rarely,Sometimes,No,No,Yes,Yes,Yes,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods, Delivery Charges",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Footwear (shoes, heels, sandals), Accessories, Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Save money,,
yRGy4p,ye5BMx,2024-09-14 5:54:12,Kandy,18 -21,Female,1st year,Not Employed,In-Store,Once or Twice,Instagram,,"AliExpress, Daraz",,Once or Twice,"2,000 - 4,000",2,3,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Rarely,Rarely,Yes,Yes,Yes,No,Yes,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Footwear (shoes, heels, sandals), Accessories, Bags & Luggage, Books",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes, I would rent","Yes, I would rent",Save money,,
DPY1zp,6rEgek,2024-09-14 5:54:43,Kandy,22 - 25,Male,4th year,Above 100K,In-Store,Never,Facebook,,eBay,,Once or Twice,"4,000 - 6,000",3,2,Donate,1 - 5,Yes,4-6,1 - 5,Never,"Less than 2,500",Rarely,Never,Yes,Yes,Yes,Yes,Yes,Price & Payment Methods,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,Home wear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would rent","Yes, I would rent",Save money,,
G4g1rO,J8vQl4,2024-09-14 5:55:59,Matara,22 - 25,Female,3rd year,Not Employed,In-Store,Never,"Facebook, Instagram",,Daraz,,Never,"2,000 - 4,000",3,3,Discard,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"5,000 - 10,000",Rarely,Never,Yes,Yes,No,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Accessories, Bags & Luggage",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Yes, I would rent","Yes, I would rent",Opportunity for extra income,,
4yqk25,0oRK8N,2024-09-14 5:56:01,Panadura ,22 - 25,Female,3rd year,Not Employed,In-Store,Once or Twice,"Facebook, WhatsApp",,AliExpress,,Once or Twice,"2,000 - 4,000",1,2,Donate,1 - 5,Yes,1 - 3,6 - 10,Thrice or More,"2,500 - 5,000",Sometimes,Rarely,No,Yes,No,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Sustainability of the service,,No
AG0JDy,2OGpNV,2024-09-14 5:57:13,Colombo,22 - 25,Female,4th year,Above 100K,In-Store,Once or Twice,Facebook,,Shein,,Once or Twice,"6,000 - 8,000",4,3,Donate,10+,Yes,4-6,6 - 10,Once or Twice,"5,000 - 10,000",Sometimes,Sometimes,Yes,Yes,No,Yes,Yes,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Accessories, Books, Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes, I would buy",No,Opportunity for extra income,,
8yWkpz,E872Xo,2024-09-14 5:57:49,Kegalle,22 - 25,Female,3rd year,Not Employed,In-Store,Never,"Instagram, Facebook, WhatsApp",,AliExpress,,Once or Twice,"Below 2,000",3,2,Recycle,1 - 5,Yes,1 - 3,1 - 5,Thrice or More,"2,500 - 5,000",Always,Sometimes,Yes,Yes,No,Yes,Yes,"Delivery Charges, Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Footwear (shoes, heels, sandals), Bags & Luggage, Books",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes, I would rent","Yes, I would rent",Opportunity for extra income,,
d1pA2d,jGAjyR,2024-09-14 5:57:52,Kegalle,25+,Female,4th year,Not Employed,In-Store,Never,Facebook,,"AliExpress, Shein, Daraz",,Once or Twice,"2,000 - 4,000",3,2,Recycle,None,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Never,Yes,Yes,No,Yes,No,"Quality of Clothing, Scams (Trust Issues), Delivery Charges",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,Books,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Save money,,
l15A0N,dQeOYz,2024-09-14 5:58:18,Kegalle ,18 -21,Female,1st year,Not Employed,In-Store,Once or Twice,Facebook,,AliExpress,,Once or Twice,"Below 2,000",2,4,Recycle,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,No,Yes,No,Yes,Yes,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods, Delivery Charges, Self-Esteem",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Home wear, Sports wear, Footwear (shoes, heels, sandals), Accessories, Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.), Household appliances, Not interested in any Second-Hand items",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Yes, I would buy","Yes, I would sell",Opportunity for extra income,,It's actually very good..
